State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OYO,IBARAPA CENTRAL,OKESERIN I & II,30-11-09-005,"OLUPIRA COMPOUND, (AKOGUN)",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,OKESERIN I & II,30-11-09-011,AJEGUNLE MARKET (ALAGBAA TEJUMADE),0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,OKESERIN I & II,30-11-09-014,C.A.C. ONILADO (ARIGBEYO) I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,OKE-ODO,30-11-10-008,AGBEDE ITA OLUKOTUN II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,OKE-ODO,30-11-10-009,ITA ELESIN,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA CENTRAL,OKE-ODO,30-11-10-010,DUDU/ARUNLE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,AYETE II,30-13-02-010,MOTOR PARK III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN II,30-13-04-001,TOWOBOWO MARKET,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN II,30-13-04-008,BAPTIST SCHOOL II (B) ISALE AKAO,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN II,30-13-04-011,OLOKUTA COMPOUND AREA MOSQUE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN III,30-13-05-002,KOLEYE QUARTERS,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN III,30-13-05-003,OLORI ODE QUARTERS,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN III,30-13-05-004,R.C.M. I (A),0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN III,30-13-05-006,OKE OLA MARKET I,0,0,0,0,1,0,1,1,0,0,0,0,0,
